video_str,play_id,title,ExitVelocity,HitDistance,LaunchAngle,video
"John Jaso hits a home run for the Pittsburgh Pirates in their game against the Philadelphia Phillies. The ball soars through the air, landing just beyond the outfield wall. It bounces into the Pirates bullpen, among several people waiting for it. Jaso rounds the bases and rejoins his team.",5b254850-9e14-48d2-8baf-c3e12ecbe68d,John Jaso homers (6) on a fly ball to center field.,102.9,412.0,25.0,https://sporty-clips.mlb.com/YjlLTlpfWGw0TUFRPT1fQTFOVFVWQU1Vd0lBQVFjRFVnQUFDVkpVQUZsWEFnY0FVVlpRQVFGUVVsRUFCZ29D.mp4
A baseball player pitches the ball to a batter with a 1-1 count. The batter hits a fly ball that goes deep into left center field and over the wall for a home run. The ball lands on top of the Baltimore bullpen shed and bounces into the Rays bullpen. The batter rounds the bases to score.,0110e760-5d49-4c53-ad29-e74c787c038d,Evan Longoria homers (34) on a fly ball to left center field.   Kevin Kiermaier scores.,103.1,423.0,31.0,https://sporty-clips.mlb.com/OHcxUXlfWGw0TUFRPT1fQmdCUVZBRURVQUlBRFFZR1h3QUFVZ05WQUFCUlVWZ0FWMUlCVXdRTkJsQlZBd29D.mp4
"Sure, here's the summary of the video:

A baseball pitcher throws a pitch to a batter. The batter hits the ball into the stands. The pitcher looks up, as does a fan in the audience. The batter runs around the bases to home plate.",3b9ecf94-e3fe-4d79-8b33-efe174dfa53e,Marwin Gonzalez homers (13) on a line drive to right field.,106.6,390.0,22.0,https://sporty-clips.mlb.com/Mk9vbFBfWGw0TUFRPT1fQlZOWUFRZFNYd1lBWFZGVUF3QUFWUUZmQUZsWFVGSUFWd05RQVFRQlZWVUVCUUVE.mp4
The batter hits the ball deep into right field. A member of the opposing team runs back toward the wall. The ball is a home run. The score is now 1 to 0 in favor of the batter’s team.,bda1cb83-dca9-46b2-aaad-6c1f009cd51c,Eddie Rosario homers (10) on a fly ball to right field.,98.5,368.0,30.0,https://sporty-clips.mlb.com/ajlhWFpfWGw0TUFRPT1fVkZVQVZRZFdYZ0VBWEFGVFh3QUFCMVJVQUFCVUFnVUFCQVlFVmdNRkNGQUJCUU1G.mp4
"Darvish throws a pitch to Semien, who hits the ball into left field. Gomez, the left fielder, barely looks at the ball as it sails over the fence for a three-run home run.  Semien rounds the bases and jogs toward home plate. This home run brings the score to 7-0 in favor of Oakland.",9f87e907-3c4f-4187-8fb0-d6784b3b1f1a,Marcus Semien homers (26) on a fly ball to left field.   Ryon Healy scores.    Yonder Alonso scores.,106.0,435.0,32.0,https://sporty-clips.mlb.com/bGUyNEdfWGw0TUFRPT1fRDFkWlV3RU5WZ1VBQ3dFR0FBQUFBQTVSQUZsVEFWRUFWbE1DQ0FkWEFsRlVWZ01I.mp4
"The batter hits a left field fly ball that travels deep. The fielder chases the ball toward the left field wall. The ball sails over the wall and out of the park, for a 3-run home run. The batter rounds the bases and heads home.",0208ab5b-2ff5-4bc0-9a73-2a6a7b45dcae,Ryan Zimmerman homers (15) on a line drive to left center field.   Anthony Rendon scores.    Stephen Drew scores.,101.5,384.0,24.0,https://sporty-clips.mlb.com/MzR3Wk5fWGw0TUFRPT1fQmdOUlhBVldVMUFBQ2dSVVV3QUFVMVZXQUZoVVZGSUFBQVFEVVFSWEJRWUJVMU1E.mp4
"A baseball player hits a high fly ball down the right field line.  The ball is carrying just to the right of the foul pole and drops in for a home run. The batter rounds the bases as the pitcher walks off the field with his head down.  The batter, Ehire Adrianza, is credited with a solo home run.",8305de36-508a-4d5a-acd1-661fa32061d2,Ehire Adrianza homers (2) on a fly ball to right field.,95.0,0.0,38.0,https://sporty-clips.mlb.com/d1c2Uk5fWGw0TUFRPT1fRGdKUlVRQlJWUVFBRFZJS0J3QUFWUU1IQUFCV0IxQUFCRk1FVmxJR0F3TlRBVlpV.mp4
"The batter cracks the ball into deep right field. The right fielder goes back, looking up at the wall, as the ball goes over the fence. The batter hits a home run. He drops his bat and begins trotting around the bases.",d46efa1e-5489-46bb-a2ec-953258b12bdc,Jose Reyes homers (8) on a line drive to right center field.    Brandon Nimmo scores.,103.2,397.0,23.0,https://sporty-clips.mlb.com/S2xQbzJfWGw0TUFRPT1fVWdWWEFRSlZWMWNBRFZZS1h3QUFCMVFFQUFBSEJnSUFDMUFHQWdZTlV3SlhVbFlG.mp4
"Musgrove pitches to Mazarra in the 7th inning of an Astros vs. Rangers game. Mazarra hits a two-run homerun to right field. This was Mazarra's 18th home run of the season, bringing the score to 5-3, Astros leading. Musgrove is visibly frustrated after giving up the homerun.",fcfc3d82-32dc-40c6-b023-d7ea86633537,Nomar Mazara homers (18) on a fly ball to right center field.    Jurickson Profar scores.,104.4,398.0,37.0,https://sporty-clips.mlb.com/TjlXdjZfWGw0TUFRPT1fVUZJSEIxZFFYZ0FBQzFCV0JRQUFBVlZRQUFNRlVWSUFWbEpRVVFzREJ3QldCUUZS.mp4
"The pitcher throws a pitch and the batter hits it towards the outfield. The centerfielder attempts to make a play on the ball, but cannot reach it in time. The batter makes a home run, giving the Tampa Bay Rays a three-run lead. The pitcher seems disappointed.",47b7968f-59f5-4dbd-900e-652a9ebf2387,Evan Longoria homers (33) on a fly ball to center field.   Logan Forsythe scores.    Kevin Kiermaier scores.,103.2,423.0,26.0,https://sporty-clips.mlb.com/V2R6RFJfWGw0TUFRPT1fQWdZRFUxMENYbFFBRFZ0VVV3QUFWVlFDQUZnRlV3UUFCRkFIVVFwUVUxVlhBd3BS.mp4
